EmployeeID,NationalIDNumber,LoginID,Title,PhoneNumber,BirthDate,MaritalStatus,Gender,HireDate,Dept,Salary,Job Grade,CurrentFlag,rowguid
1,14417807,adventure-works\guy1,Gustavo Achong,9257522351,21-02-1986 00:00,M,M,02-02-2013 00:00,Sales,2295,Admin,-1,{AAE1D04A-C237-4974-B4D5-935247737718}
2,253022876,adventure-works\kevin0,Catherine Abel,9235868360,12-03-1991 00:00,S,M,31-08-2013 00:00,Sales,962,Management,-1,{1B480240-95C0-410F-A717-EB29943C8886}
3,509647174,,Kim Abercrombie,9416421559,21-09-1978 00:00,M,M,16-06-2014 00:00,Finance,4006,Admin,-1,{9BBBFB2C-EFBB-4217-9AB7-F97689328841}
4,112457891,,Humberto Acevedo,8800042425,01-11-1978 00:00,S,M,10-07-2014 00:00,Logistics,4547,Admin,-1,{59747955-87B8-443F-8ED4-F8AD3AFDF3A9}
5,480168528,,Pilar Ackerman,,07-06-1963 00:00,M,M,16-07-2014 00:00,Human Resource,1932,Admin,-1,{1D955171-E773-4FAD-8382-40FD898D5D4D}
6,24756624,,Frances Adams,,26-01-1979 00:00,S,M,25-07-2014 00:00,Sales,,Management,-1,{E87029AA-2CBA-4C03-B948-D83AF0313E28}
7,309738752,,Margaret Smith,,25-11-1959 00:00,S,F,31-07-2014 00:00,sales,,Operations,-1,{2CC71B96-F421-485E-9832-8723337749BB}
8,690627818,,Carla Adams,,13-04-1960 00:00,M,F,11-08-2014 00:00,Finance,3989,Management,-1,{3E3B6905-209E-442E-B8A8-9A0980241C6A}
9,695256908,,Jay Adams,9186178676,06-08-1956 00:00,M,F,11-08-2014 00:00,Finance,1636,Admin,-1,{EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08}
10,912265825,adventure-works\barry0,Ronald Adina,9419900279,03-02-1960 00:00,S,M,12-08-2014 00:00,Logistics,3386,Admin,-1,{756A60AE-378F-43D8-9F93-1E821D1EAF52}
11,998320692,adventure-works\jossef0,Samuel Agcaoili,8840105585,18-01-1963 00:00,M,M,29-08-2014 00:00,Logistics,3676,Operations,-1,{E39056F1-9CD5-478D-8945-14ACA7FBDCDD}
12,245797967,adventure-works\terri0,James Aguilar,9483108700,10-06-1975 00:00,S,F,05-09-2014 00:00,Human Resource,1128,Operations,-1,{45E8F437-670D-4409-93CB-F9424A40D6EE}
13,844973625,,Robert Ahlering,9174374839,09-07-1960 00:00,M,M,07-09-2014 00:00,Production,2301,Operations,-1,{40D603D9-7F99-48B7-A580-B17CF429BED2}
14,233069302,,François Ferrier,9496287982,09-02-1960 00:00,M,M,13-09-2014 00:00,Logistics,2887,Admin,-1,{28F7EF89-2793-4989-B67D-25046543C1E3}
15,132674823,,Kim Akers,8362472108,20-05-1960 00:00,S,M,25-09-2016 00:00,Production,2154,Admin,-1,{6E086F41-B81D-4BDC-9F13-0EEC488DC43E}
16,446466105,,Lili Alameda,9459738747,17-08-1960 00:00,S,F,02-10-2014 00:00,Production,2741,Operations,-1,{83FFAAC6-B895-481F-B897-14F965D4DA47}
17,565090917,,Amy Alberts,9384458522,12-02-1960 00:00,M,F,14-10-2014 00:00,Production,4096,Operations,-1,{692B8826-03B4-4C3B-82FC-1FC6F1409689}
18,494170342,,Anna Albright,,16-06-1960 00:00,M,M,21-10-2016 00:00,Sales,1998,Operations,-1,{D4ED1F78-7C28-479B-BFEF-A73228BA2AAA}
19,9659517,,Milton Albury,,06-02-1960 00:00,M,F,01-11-2014 00:00,sales,3408,Admin,-1,{C334B2D2-0C56-4906-9095-F1D07A98CBEC}
20,443968955,,Paul Alcorn,,23-03-1981 00:00,M,M,07-07-2015 00:00,Finance,3390,Admin,-1,{0A8937C9-68AA-4D48-BA4E-B40493D764AA}
21,277173473,,Gregory Alderson,9182452324,12-09-1986 00:00,M,M,07-07-2015 00:00,Production,2034,Management,-1,{69D5D162-E817-45E7-9DEC-5D9B8310E7B1}
