customer_id,full_name,email,phone,alt_phone,dob,gender,address,city,state,country,zipcode,signup_date,last_purchase_date,total_orders,total_spent,preferred_channel,is_active,notes,marketing_opt_in,loyalty_tier,device_type,ip_address,latitude,longitude,internal_id,legacy_code,tmp_score,random_blob,tracking_cookie,third_party_id
10161,Aadhya Mukherjee, aadhya_mukherjee@yahoo.com,9106869837,,1995-02-12,Female,"225, Brigade Rd",Ahmedabad,GJ,India,113378,2017-08-23,2020-12-09,5,2837.63, Phone,0,Duplicate lead,Y,None,Android,130.242.40.5,25.513652,76.608304,INT-885872,LC-959,61.12,,,
8838,Meera Iyer,meeraiyer@yahoo.com ,(91)6973519705,,1991-01-19,Other,"215, Brigade Rd",Indore,MP,India,990225,2021-02-24,2022-06-10,4,2386.04,Email  ,Y, Duplicate lead,no,Silver,Web,70.15.165.64,9.675501,76.066067,INT-712017,,44.71,,,
5298,Aadhya Reddy,aadhyareddy@yahoo.com ,7092086417,(91)6172634835,1992-12-27,Other,"191, MG Road",Surat,GJ,India,668992,2019-12-04,2024-11-03,4,4715.95,Email,N,,no,Bronze,iOS,57.219.31.214,21.546103,68.514616,INT-268270,,39.66,,,TP-2247
996,Diya Pillai,diyapillai@example.com ,(91)7873457787,(91)9181272997,1989-07-19,Female," 15, MG Road",Lucknow, UP,India,907077,2024-05-29,2025-08-18,3,11652.2,Whatsapp  ,False, Call after 6PM  ,False,Bronze,Android,124.132.77.55,11.433344,80.753389,INT-729645,,55.19,,,
4374,Ishaan Gupta, ishaan8303@example.com  ,(91)6513754360,7899415323,1973-08-29,Other,,Mumbai, MH  ,India,035696,2024-02-14,,1,6070.58,Whatsapp,0,VIP customer,Y,Gold,Android,29.14.244.98,21.151247,84.501139,INT-323700,,47.63,zezaVpmTBd96Ls8t,,
4763,Sai Menon,sai@@example.com,(91)6095322737,,1993-11-29,Male,"224, MG Road",Madurai,TN,India,693441,2020-02-04,2022-07-17,6,4053.23,Phone,0,Wrong email?,Y,None,Web,250.47.69.57,9.913286,75.763392,INT-903155,,58.27,LWck0vkm6v0jeGU4,,
88,Meera Pillai, meera_pillai@outlook.com,(91)9624874347,7620166904,1972-01-22,Female,"28, MG Road",Jaipur,RJ,India,865220,2020-03-05,2020-06-05,8,9744.88,SMS,1,Duplicate lead,N,Bronze,Web,167.118.191.92,17.85139,82.532562,INT-235629,LC-259,39.36,,,
10814,Vivaan Prasad,vivaan1247@outlook.com,9400801925,,1990-06-29,,"281, FC Road",,TS  ,India,566809,2018-11-18,2022-02-20,7,6147.53,Email,1,,yes,None,Web,232.21.64.244,26.791909,70.514291,INT-449427,LC-699,38.29,,,
4105,Nisha Chettiar,,7672277086,,1998-05-14,Male,"51, CG Road", Mysuru  ,KA,India,402590,2024-02-07,,9,2504.12,Phone,0,Call after 6PM,False,Bronze,Web,34.51.129.122,21.913086,71.225104,INT-167044,LC-814,52.89,,,
3562,Sai Mukherjee,sai-mukherjee@ksrdatavizon.in,8996827915,,1970-04-17,Other,"63, Banjara Hills",Mysuru,KA,India,296639,2018-08-13,2019-01-17,7,5545.92, Phone,0,Duplicate lead,N,None,Android,32.201.249.58,10.809572,70.059732,INT-874097,LC-670,67.16,,,TP-5182
568,Nisha Chatterjee,nisha@@example.com,(91)8999501022,,1988-10-02,Female,"206, Anna Salai",Madurai,TN,India,,2023-01-07,2025-08-12,2,5400.75, Phone,Y, Duplicate lead,N, None  ,Android,31.33.203.7,13.278462,73.021487,INT-469425,,65.16,CmWwrumMB9OrtECq,,TP-8856
10730,Vihaan Chettiar,vihaan@outlook.com,8559732448,,,Male,"134, Anna Salai",Delhi,DL,India,209242,2023-06-18,,6,5538.31,SMS,False,Duplicate lead,Y,Gold,Web,26.219.94.133,15.034139,72.395617,INT-338803,,40.02,,6a5nbiqirmkwbtfnu0b3923n,
4576, Sai Subramanian,,6931319263,7573076499,1985-09-18,Female,"247, Banjara Hills",Surat,GJ,India,675073,2019-08-03,2021-10-13,3,10643.1, Push  ,N,VIP customer,Y,None,Android,227.125.72.202,14.810348,71.810375,INT-820787,LC-767,63.84,,cdmigmxn26o00r7f93mybo9q,
1313,Sara Pillai,sara@@outlook.com  ,7911352561,,1976-12-30,Male,"273, FC Road  ",Chennai,TN,India,444915,2022-01-19,2022-10-04,7,6080.09,SMS,N,VIP customer,no,Bronze,iOS,245.18.153.74,12.752972,83.482839,INT-361807,,31.75,,,
6104,Anaya Gowda,anayagowda@outlook.com   ,,,,Male,"195, FC Road",Kochi  ,KL,India,875165,2023-10-20,2025-08-03,5,5206.35,Push,Y,VIP customer,False,Gold,Web,71.112.227.241,27.918695,71.817968,INT-404543,,61.4,,,
797,Vihaan Verma, vihaan_verma@yahoo.com,(91)9481477645,,1978-12-31,Male," 111, MG Road  ",Mumbai,MH,India,836180,2019-11-21,2025-08-16,7,5201.72,Phone,False,VIP customer,Y,Gold,Android,174.177.145.61,12.086251,71.983262,INT-491154,,43.19,ZkCDNjHKKBhEMlWs,,TP-1889
13630, Anaya Gupta, anaya_gupta@outlook.com,7089854060,,1992-10-03,Other,"87, Anna Salai", Madurai,TN,India,530737,2019-05-03,2021-06-07,4,5999.77,SMS,True,,Y,None,Web,181.146.43.70,12.424125,74.245358,INT-149051,LC-696,47.87,,,
9695,Nisha Sharma, nisha_sharma@ksrdatavizon.in,(91)9288492433,,1988-06-29,Male,"157, Brigade Rd", Surat,GJ,India,253950,2019-02-03,2025-04-01,6,4192.55,Whatsapp,N,,no,None,iOS,169.180.146.194,24.750207,81.844287,INT-218021,,61.88,,,TP-3641
12878,Diya Gowda,diya.gowda@outlook.com.com,6613508744,,,Male," 235, MG Road",Ahmedabad,GJ,India,833730,2018-03-27,2022-11-16,9,10919.04,Phone  ,0,Duplicate lead,Y,Bronze,Web,211.113.63.77,10.60157,80.349512,INT-627243,,57.55,,,TP-2482
1036,Isha Nair,isha.nair@outlook.com,7959780516,(91)8388584836,1983-12-13,Other,"282, CG Road",Pune,MH,India,490445,2020-11-24,2021-05-01,3,2398.1,Phone  ,Y,,N,Gold,iOS,244.69.52.75,10.699478,69.190217,INT-847637,LC-837,53.97,,,
3408, Aadhya Nair,aadhya.nair@ksrdatavizon.in,8101645707,,1991-07-21,Female,"205, Anna Salai",Madurai,TN,India,548922,2022-03-04,2025-08-28,5,9137.26,Email,False,,yes,Bronze,iOS,13.252.46.80,13.011972,77.290532,INT-932641,,38.14,,,
1858,Sara Gupta,sara9650@outlook.com,(91)7482759455,,1987-06-26,Other,"70, Park Street",Kochi,KL,India,082132,2018-04-13,2024-10-28,5,7856.36,Phone,N,,no,None,Web,193.110.113.107,9.415723,72.934033,INT-184926,,38.06,,,TP-4360
